"","Бренд","Внешние размеры  (Д х Г х В)","Внешние размеры  (Д х Г х В) мм","Внешние размеры (ДхГхВ) мм","Выходная мощность","Выходная мощность(Вт)","Гарантия","Динамики","Динамики(шт)","Дополнительная информация","Источник питания","Масса (кг","Масса (кг)","Мощность(Вт)","Пульт ДУ","Размеры (Ш x В х Г)","Совместимость","Страна производства","Тип (Док-станции для смартфонов, планшетов, плееро","Тип АС","Уникальное описание","Цвет корпуса","Цена, (р)"
"Philips SBA3210","Philips","11,4 x 8,19 x 5,7",NA,NA,"4 Вт",NA,"1 год","2",NA,"Работает с iPhone, iPod, MP3-плееры, Смартфоны, че",NA,NA,"0,36",NA,NA,NA,NA,NA,NA,"встроенная",NA,"черный","2199"
"Philips SBA3110","Philips","5,7 x 8,12 x 5,7",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,20",NA,NA,NA,NA,NA,NA,"встроенная",NA,"алюминиевый","860"
"Philips SBA1710","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"Серый","580"
"Philips SBA1710BLU","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"синий","590"
"Philips SBA1710GRN","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"зеленый","580"
"Philips SBA1710PNK","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"розовый","590"
"Philips SBA3011BLU","Philips","6,5 x 8 x 6,2",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,13",NA,NA,NA,NA,NA,NA,"встроенная",NA,"синий","790"
"Philips SBA3011GRN","Philips","6,5 x 8 x 6,2",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,13",NA,NA,NA,NA,NA,NA,"встроенная",NA,"зеленый","890"
"Philips SBA3011ORG","Philips","6,5 x 8 x 6,2",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,13",NA,NA,NA,NA,NA,NA,"встроенная",NA,"оранжевый","720"
"Philips AS130","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Китай",NA,NA,NA,NA,"3080"
"Philips AS851","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Китай",NA,NA,NA,NA,"6590"
"Yamaha PDX-11 white","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Pioneer STZ-D10T-G","Pioneer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5590"
"Pioneer XW-BTS3-K","Pioneer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3","5","есть","334x171x100 мм",NA,NA,NA,NA,NA,NA,"4790"
"Pioneer XW-SMA1-K","Pioneer",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,"3,3","20","есть","320x180x145 мм",NA,NA,NA,NA,NA,NA,"5590"
"Yamaha PDX-B11 black","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4690"
"Yamaha PDX-B11 orange","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4690"
"Philips DS1150","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3990"
"Philips DS3110","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4990"
"Philips AS111","Philips",NA,"-",NA,"4 Вт",NA,NA,"2",NA,"Клавиши сохраненных интернет-радиостанций",NA,NA,"0,8",NA,NA,NA,NA,NA,NA,NA,NA,"черный","3190"
"Philips DC5070","Philips",NA,"350x350x978",NA,"2 х 60 Вт (120 Вт)",NA,"1 год","2",NA,NA,NA,NA,"10,7",NA,NA,NA,NA,"Китай",NA,NA,NA,"черный","7860"
"Philips DS1200","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,"4590"
"Philips SBA3005","Philips","5,7 x 5,7 x 8,1",NA,NA,"2 Вт",NA,"1 год","1",NA,"втягивающийся кабель AUX-IN 3.5, совместимость с i",NA,NA,"0,19",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","черный","790"
"Sony SRS-X33R","Sony","18,5 х 6 х 5,9",NA,NA,"20 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,7",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","красный","7250"
"Philips SPA20","Philips",NA,NA,"158 x 80 x 121",NA,"7","1 год",NA,"2","управление громкостью и питанием на передней панел",NA,")0,6",NA,NA,NA,NA,NA,NA,NA,"встроенная","Да","Коричневый с черным","690"
"Philips ORD2105","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5490"
"Philips DC295","Philips",NA,"263x163x135",NA,"2 х 5 Вт (10 Вт)",NA,"1 год","2",NA,NA,NA,NA,"1,1",NA,NA,NA,NA,"Китай",NA,NA,NA,"Серый","5390"
"Philips DS1155","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5990"
"Philips DCM3260","Philips",NA,"520 x 111 x 223",NA,"2 x 20 Вт (40 Вт)",NA,NA,"2",NA,"Клавиши сохраненных интернет-радиостанций, настоль",NA,NA,"4,2",NA,NA,NA,NA,NA,NA,NA,NA,"черный","8990"
"Samsung DA-E750","Samsung",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20990"
