"","Бренд","Вид","Гарантия","Звуковой сигнал при закипании","Индикация включения","Кнопка открывания крышки","Корзина для заварки чая","Максимальная потребляемая мощность (Вт)","Максимальный объем (л)","Масса (кг)","Материал корпуса","Нагревательный элемент","Подсветка корпуса","Состав набора","Страна производства","Тип управления","Уникальное описание","Фильтр","Цвет","Цена, (р)"
"Bosch TWK3A014","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","красный","1890"
"Bosch TWK3A017","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","бежевый","1890"
"Philips HD9340","Philips",NA,"2 года","нет","есть",NA,"нет","2200","1,5",NA,"стекло, металл","скрытый","нет",NA,NA,"механический",NA,"есть","черный","3450"
"Philips HD4677/50","Philips",NA,"2 года","есть","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","есть",NA,"Германия","механический",NA,"есть","серый","2970"
"Philips HD4681","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2590"
"Philips HD9310/14","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,6",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1980"
"Philips HD9310/93","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,6",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","1980"
"Philips HD4699","Philips",NA,"2 года","есть","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","есть",NA,NA,"механический",NA,"есть","черный","2590"
"Philips HD9300","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1740"
"Philips HD9300/90","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","1790"
"Philips HD9304","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1830"
"Oursson EK1760M/OR","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","оранжевый","3490"
"Philips HD9320","Philips",NA,"2 года","нет","есть",NA,"нет","2200","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","2390"
"Philips HD9323/40","Philips",NA,"2 год","нет","есть",NA,"нет","2200","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","сиреневый","2730"
"Panasonic NC-GK1WTQ","Panasonic",NA,"1 год","нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2490"
"Panasonic NC-SK1BTQ","Panasonic",NA,"1 год","нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","2990"
"Unit UEK-252 white","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"керамика","скрытый","есть","электрический чайник, заварной чайник, подставка",NA,"механический","Новая модель","есть","белый","4190"
"Philips HD9325","Philips",NA,"2 год","нет","есть",NA,"нет","2200","1,7",NA,"металл","скрытый","нет",NA,NA,"механический","Новая модель","есть","шампань","2730"
"Philips HD9323/80","Philips",NA,"2 года","нет","есть",NA,"нет","2200","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","2730"
"Ariete 2894","Ariete","чаеварки",NA,"нет","есть",NA,"есть","2400","1",NA,"пластик","скрытый","нет",NA,NA,"механический","Новая модель","есть","черный","7460"
"Ariete 2872","Ariete","чаеварки",NA,"нет","есть",NA,"нет","2200","1,7","1,5","пластик","скрытый","нет",NA,NA,"механический","Новая модель","нет","черный","2990"
"Ariete 2891","Ariete","чайники",NA,"нет","есть",NA,"нет","1080","0,8","0,75","металл","скрытый","нет",NA,NA,"механический","Новая модель","нет","красный","3070"
"Bosch TTA2201","Bosch",NA,NA,"нет","есть",NA,"есть","1785","2",NA,"пластик","скрытый","нет",NA,NA,"механический","Новая модель","есть","белый","4870"
"Philips HD4681/55","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2640"
"Bosch TWK6303","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический","Новая модель","есть","стальной","3140"
"Bosch TWK7701","Bosch",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический","Новая модель","есть","белый","2460"
